"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","iteration","cv_fold"
-0.010462759,-0.091880143,0.051757579,-0.0025743676,0.076985293,0.026354287,-0.017693724,0.0051562454,-0.0031408012,0.076406991,-0.017160196,0.013551048,0.075734859,0.268481,95,2
0.0010467215,-0.088098427,0.048712675,-0.035582478,0.16087099,0.050286803,0.18474895,0.01183934,0.0077972166,0.12093913,-0.020613394,0.010504725,-0.10859072,0.19035749,96,2
-0.0092998533,-0.10387303,0.031251408,-0.01345757,0.11703857,0.030105021,-0.063642954,0.052603787,-0.0076967785,0.11107795,-0.0061253246,0.0056986366,0.16178029,0.15608166,97,2
-0.00012662618,-0.11841012,0.014963188,0.013024404,0.090023635,-0.017190958,0.020941508,0.067312739,-0.0013331067,0.099193377,-0.0060254519,0.017469932,0.076080974,0.10509569,98,2
-0.0093356406,-0.12918276,0.031983151,0.0066390277,0.1127621,0.083979025,0.064378416,0.10585739,0.0029248167,0.18071278,-0.023893459,0.010337781,0.033206351,0.13475365,99,2
-0.0028269886,-0.14218284,0.061123886,-0.0055349888,0.12314358,0.0078610675,-0.0027167973,-0.082185824,-0.0092397086,0.13028464,-0.026637032,0.023458422,0.13437656,0.21195546,100,2
-0.0030768711,-0.094257066,0.034436673,0.00021391623,0.076406236,-0.0044790103,0.076018394,0.2186278,-0.0049728561,-0.01043558,0.00010193094,0.0053685149,0.012460073,0.16432785,101,2
-0.00046696095,-0.065463211,0.029551135,0.0045788854,0.11295974,0.14866941,0.069670184,0.042781022,-0.0073614412,0.044377407,-0.021117742,0.0036381635,-0.096940699,0.26903111,102,2
-0.0032259865,-0.04563289,0.02289037,0.0015364336,0.10868912,0.12820895,0.1318602,0.029175814,-0.0044198504,0.071153176,-0.02168683,-0.00083249664,-0.12359727,0.24450347,103,2
-0.013726741,-0.17882921,0.063714351,-0.0143416,0.10192609,0.030828215,-0.058636652,0.11059565,0.0024760973,-0.026211827,-0.033561462,0.0068102417,0.23057439,0.18591373,104,2
-0.00049458934,-0.069811811,0.023083036,-0.0044351383,0.083433749,0.062109326,0.13196175,-0.0025542775,-0.0046057312,0.085656058,-0.0045516514,0.0086718216,-0.044739446,0.13234504,105,2
0.0043082965,-0.094810671,0.045922353,-0.0096230171,0.13178836,0.057636097,0.099362108,0.053830535,-0.0071266443,0.078143021,-0.011400187,0.00096073391,0.056253317,0.077794241,106,2
